,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,Jun 27,8:45 PM,8:55 PM,10 min,3,590,e+,71,40,30730,215,-2577,47 (45.2),30,30,0.027,Not working,3.553,29,GV,"GV, MH",,,,,
1953,Jun 27,21:00,9:14,14 min,3,600,e+,71,40,32084,215,-2577,46 (44.2),30,30,0.027,Not working,3.553,29,GV,"GV, MH",,,,,
1954,Jun 27,9:14 PM,9:30 PM,16 min,3,616,e+,71,40,32633,215,-2577,45 (43.2),30,30,0.027,Not working,3.553,29,GV,"GV, MH",,,,,
1955,Jun 27,9:33 PM,9:50 PM,17 min,3,677,e+,71,40,30259,215,-2577,44 (42.2),30,30,0.03,Not working,3.557,29,GV,"GV, MH",CC 1 and 2 were a little high and this was noticed on this run. Next run will bring them back down,,,,
1956,Jun 27,9:54 PM,10:17 PM,23 min,3,670,e+,71,40,30991,215,-2577,43 (41.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",The pressures were not able to be changed. Beam is down from start of run until about 10:10,,,,
1957,Jun 27,10:21 PM,10:35 PM,14 min,3,769,e+,71,40,34577,215,-2577,42 (40.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",,,,,
1958,Jun 27,10:38 PM,10:51 PM,13 min,3,700,e+,71,40,30443,215,-2577,41 (39.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",,,,,
1959,Jun 27,10:55 PM,11:08 PM,13 min,3,598,e+,71,40,32456,215,-2577,40 (38.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",,,,,
1960,Jun 27,11:11 PM,11:24,13 min,3,575,e+,71,40,30464,215,-2577,35 (33.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",,,,,
1961,Jun 27,11:30 PM,11:44 PM,14 min,3,570,e+,71,40,35376,215,-2577,30 (28.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",,,,,
1962,Jun 27,11:50 PM,0:03,13 min ,3,570,e+,71,40,34389,215,-2577,25 (23.2),30,30,0.03,Not working,3.556,29,GV,"GV, MH",,,,,
1963,Jun 28,12:08 AM,12:20 AM,12 min ,3,587,e+,71,40,30337,215,-2577,20 (18.2),30,30,0.03,Not working,3.556,29,CN,"CN, ZLG, MP",,,,,
1964,Jun 28,0:23,12:36 AM,13 min ,3,602,e+,71,40,31720,215,-2577,15 (13.2),30,30,0.03,Not working,3.556,29,CN,"CN, ZLG, MP",,,,,
1965,Jun 28,0:40,12:52,12 min ,3,596,e+,71,40,30301,215,-2577,10 (8.2),30,30,0.03,Not working,3.556,29,CN,"CN, ZLG, MP",,,,,
1966,Jun 28,12:57 AM,1:09,12 min ,3,597,e+,71,40,30563,215,-2577,5 (3.2),30,30,0.03,Not working,3.556,29,CN,"CN, ZLG, MP",,,,,
1967,Jun 28,1:14 AM,1:27 AM,13 min ,3,589,e+,71,40,31248,215,-2577,0 (-1.8),29,30,0.03,Not working,3.556,29,CN,"CN, ZLG, MP",,,,,
1968,Jun 28,1:42 AM,1:54,12 min ,3,628,pi+,95,80,30176,215,-2577,0 (-1.8),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1969,Jun 28,1:57,2:09 AM,12 min ,3,627,pi+,95,80,31500,215,-2577,1 (-0.8),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1970,Jun 28,2:13 AM,2:25 AM,12 min ,3,632,pi+,95,80,30107,215,-2577,2 (0.2),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1971,Jun 28,2:28 AM,2:39,11 min ,3,630,pi+,95,80,30002,215,-2577,3 (1.2),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1972,Jun 28,2:43 AM,2:55 AM,12 min ,3,638,pi+,95,80,30236,215,-2577,4 (2.2),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1973,Jun 28,2:57 AM,3:11,14 min ,3,623,pi+,95,80,35020,215,-2577,5 (3.2),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1974,Jun 28,3:14 AM,3:26,12 min ,3,617,pi+,95,80,29936,215,-2577,6 (4.2),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1975,Jun 28,3:29 AM,3:43 AM,14 min ,3,600,pi+,95,80,29996,215,-2577,7 (5.2),29,29,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",Beam was down for a bit,,,,
1976,Jun 28,3:50 AM,4:02,12 min,3,627,pi+,95,80,30137,215,-2577,8 (6.2),28,28,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1977,Jun 28,4:04 AM,4:17 AM,13 min ,3,622,pi+,95,80,30610,215,-2577,9 (7.2),28,28,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1978,Jun 28,4:21 AM,4:33 AM,12 min ,3,626,pi+,95,80,31087,215,-2577,10 (8.2),28,28,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1979,Jun 28,4:36 AM,4:48 AM,12 min ,3,623,pi+,95,80,30607,215,-2577,15 (13.2),28,28,0.02,Not working,0.9,29,CN,"CN, ZLG, MP",,,,,
1980,Jun 28,4:51,5:02 AM,11 min,3,627,pi+,95,80,30570,215,-2577,20 (18.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1981,Jun 28,5:05 AM,5:17 AM,12 min,3,624,pi+,95,80,30695,215,-2577,25 (23.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1982,Jun 28,5:23 AM,5:35 AM,12 min,3,622,pi+,95,80,30532,215,-2577,30 (28.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1983,Jun 28,5:37 AM,5:49 AM,12 min,3,631,pi+,95,80,30571,215,-2577,35 (33.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1984,Jun 28,5:52 AM,6:04 AM,12 min,3,630,pi+,95,80,30073,215,-2577,40 (38.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1985,Jun 28,6:07 AM,6:19 AM,12 min,3,623,pi+,95,80,30604,215,-2577,41 (39.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1986,Jun 28,6:21 AM,6:33 AM,12 min,3,620,pi+,95,80,30693,215,-2577,42 (40.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1987,Jun 28,6:36 AM,6:47 AM,11 min,3,626,pi+,95,80,30067,215,-2577,43 (41.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1988,Jun 28,6:51 AM,7:02 AM,11 min,3,633,pi+,95,80,30102,215,-2577,44 (42.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1989,Jun 28,7:05 AM,7:16 AM,11 min,3,633,pi+,95,80,30583,215,-2577,45 (43.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1990,Jun 28,7:19 AM,7:31,12 min,3,626,pi+,95,80,30111,215,-2577,44 (42.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",accidentally went backwards in angle for one run,,,,
1991,Jun 28,7:36 AM,7:47,11 min,3,630,pi+,95,80,30109,215,-2577,46 (44.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1992,Jun 28,7:50 AM,7:55,5 min,3,632,pi+,95,80,11009,215,-2577,47 (45.2),28,28,0.02,Not working,0.9,29,MP,"CN, ZLG, MP",,,,,
1993,,,,,,,,,,,,,,,,0.02,Not working,0.9,,,,JUNK RUN,,,,
1994,Jun 28,3:08 PM,3:22,14 min,3,600,e+,71,40,23694,64.4,,90 (88.2),29,29,0.02,Not working,0.9,29,WJ,"WJ,MH, AS",First run with test fibers. HG-DREAM SiPMs are still connected. MCPs have been moved,,,,
1994,Jun 28,4:25 PM,4:48 PM,23 min ,3,153,e+,71,40,30074,64.4,-233,90 (88.2),30,30,0.02,Not working,0.9,29,CN,"CN, ZLG, GV",Slow start but events/spill ramped up late in the run ,,,,
1995,Jun 28,4:51 PM,4:53,,3,???,e+,71,40,???,62.4,-233,90 (88.2),,,0.02,Not working,0.9,29,CN,"CN, ZLG, GV","JUNK RUN SWITCHING ENERGY, Pressures were not changed for these 40GeV runs",,,,
1996,Jun 28,???,???,???,3,???,e+,71,40,???,???,-233,90 (88.2),???,???,0.02,Not working,0.9,29,???,"CN, ZLG, GV",JUNK RUN,,,,
1997,Jun 28,4:57 PM,5:10 PM,13 min,3,584,e+,75,80,30481,62.4,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV","Switched to 80 GeV e+, starting from 62.4 table position",,,,
1998,Jun 28,5:15 PM,5:27 PM,12 min,3,593,e+,71,40,30485,60.4,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV","changing energy to 40 GeV e+, pressure is staying unchanged",,,,
1999,Jun 28,5:30 PM,5:47 PM,17 min,3,602,e+,71,40,30441,40.4,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",Moving in 2cm steps so from 60.4 to 40.4,,,,
2000,Jun 28,5:50 PM,6:02 PM,12 min,3,596,e+,71,40,30306,20.4,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2001,Jun 28,6:05 PM,6:17 PM,12 min,3,546,e+,71,40,30174,0.4,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2002,Jun 28,6:19 PM,6:32,13 min,3,596,e+,71,40,30484,-19.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2003,Jun 28,6:34 PM,6:47 PM,13 min,3,606,e+,71,40,30553,-39.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2004,Jun 28,6:50 PM,7:02 PM,12 min,3,601,e+,71,40,30523,-59.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2005,Jun 28,7:05 PM,7:17,13 min,3,600,e+,71,40,30456,-79.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2006,Jun 28,7:20 PM,7:32 PM,12 min,3,594,e+,71,40,30446,-99.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2007,Jun 28,7:35 PM,7:47 PM,12 min,3,603,e+,71,40,30546,-119.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2008,Jun 28,7:49 PM,8:01 PM,10 min,3,600,e+,71,40,30413,-139.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2009,Jun 28,8:04 PM,8:17 PM,13 min,3,597,e+,71,40,31158,-159.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2010,Jun 28,8:20 PM,8:33 PM,13 min,3,596,e+,71,40,32361,-179.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2011,Jun 28,8:36,8:49 PM,13 min,3,596,e+,71,40,30551,-199.6,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2012,Jun 28,9:28 PM,9:40 PM,12 min,3,595,e+,71,40,30562,107,-233,90 (88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV","Moved Lead brick 48.2 cm towards Saleve, and moved table back to x=107.0 mm",,,,
2013,Jun 28,9:43 PM,9:57 PM,14 min,3,595,e+,71,40,30562,87,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2014,Jun 28,10:00 PM,10:14,14 min,3,603,e+,71,40,30453,67,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2015,Jun 28,10:17 PM,10:29 PM,12 min,3,604,e+,71,40,30770,47,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2016,Jun 28,10:31 PM,10:44 PM,12 min,3,603,e+,71,40,30582,27,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",,,,,
2017,Jun 28,10:56 PM,11:09 PM,15 min,3,596,pi+,93,40,30065,7,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",Swapping to 40 GeV pion beam here because we forgot to do it in the last run,,,,
2018,Jun 28,11:16 PM,11:29 PM,13 min,3,602,pi+,71 (modified),40,30558,7,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",tracker beam profile looks identical to pions. THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2019,Jun 28,11:31 PM,11:44 PM,13 min,3,551,pi+,71 (modified),40,30421,-13,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",tracker beam profile looks identical to pions.  THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2020,Jun 28,11:46 PM,11:59 PM,13 min,3,570,pi+,71 (modified),40,31190,-33,-233,90(88.2),30,30,0.02,Not working,0.9,29,ZLG,"CN, ZLG, GV",tracker beam profile looks identical to pions.  THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2021,Jun 29,0:03,0:14,11 min,3,578,pi+,71 (modified),40,30282,-53,-233,90(88.2),30,30,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",tracker beam profile looks identical to pions.  THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2022,Jun 29,0:17,0:30,13 min,3,578,pi+,71 (modified),40,30559,-73,-233,90(88.2),30,30,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",tracker beam profile looks identical to pions.  THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2023,Jun 29,0:35,0:48,13 min,3,570,pi+,93,40,30247,-73,-233,90(88.2),29,29,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",,,,,
2024,Jun 29,0:52,1:10,18 min,3,570,pi+,71 (modified),40,40000,-93,-233,90(88.2),29,29,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",tracker beam profile looks identical to pions.  THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2025,Jun 29,1:14,1:27,13 min,3,573,pi+,71 (modified),40,31695,-113,-233,90(88.2),29,29,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",tracker beam profile looks identical to pions.  THIS IS 40 GEV PION BEAM. Beam file 71 was mistakenly modified to have the same setting as 93. ,,,,
2026,Jun 29,1:39,1:53,14 min,3,555,e+,73,60,34007,-133,-233,90(88.2),29,29,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",,,,,
2027,Jun 29,1:58,2:12,14 min,3,560,e+,73,60,31327,-153,-233,90(88.2),29,29,0.02,Not working,0.9,29,WJ,"WJ, AS, MP",,,,,
2028,Jun 29,2:19,2:34,15 min,3,605,pi+,94,60,33304,-153,-233,90(88.2),29,29,0.02,Not working,1.78,29,WJ,"WJ, AS, MP",The CC pressure in the previous runs were not changed to the desired values. Changed to 60 GeV setings from this run.,,,,
2029,Jun 29,2:37,2:51,14 min,3,550,e+,73,60,30066,-173,-233,90(88.2),29,29,0.02,Not working,1.78,29,WJ,"WJ, AS, MP",,,,,
2030,Jun 29,2:53,3:10,17 min,3,556,e+,73,60,33457,-193,-233,90(88.2),29,29,0.02,Not working,1.78,29,WJ,"WJ, AS, MP",,,,,
2031,Jun 29,3:13,3:26,13 min,3,556,e+,73,60,30181,-213,-233,90(88.2),29,29,0.02,Not working,1.78,29,WJ,"WJ, AS, MP",,,,,
2032,Jun 29,3:31,3:47,16 min,3,560,e+,73,60,35673,-233,-233,90(88.2),29,29,0.02,Not working,1.78,29,WJ,"WJ, AS, MP",,,,,
2033,Jun 29,3:53,4:05,17 min,3,560,pi+,94,60,30451,-233,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2034,Jun 29,4:10,4:23,13 min,3,560,e+,73,60,30453,-253,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2035,Jun 29,4:27,4:42,15 min,3,560,e+,73,60,36038,-273,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2036,Jun 29,4:50,5:03,13 min,3,560,e+,73,60,30366,-295,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2037,Jun 29,5:08,5:22,14 min,3,560,e+,73,60,30105,-113,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",going back and taking runs with no positron runs due to the issue with beam profile,,,,
2038,Jun 29,5:31,5:44,13 min,3,560,e+,73,60,30579,-93,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2039,Jun 29,5:51,6:05,14 min,3,560,e+,73,60,30248,-73,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2040,Jun 29,5:51,6:05,14 min,3,560,e+,73,60,30008,-53,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2041,Jun 29,6:15,6:29,14 min,3,560,mu+,104,120,30077,107,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",using muons for 90 deg ,,,,
2042,Jun 29,6:33,6:47,14 min,3,560,e+,73,60,30174,107,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",,,,,
2043,Jun 29,6:50,7:00,10 min,3,445,mu+,104,120,17635,-273,-233,90(88.2),29,29,0.02,Not working,1.78,29,AS,"WJ, AS, MP",Last run :) finished w 90 deg muons,,,,
